condition,screen,item,repeat,pred_x,pred_y,hit,dist,iou,in_tokens,out_tokens,latency_ms,error
orig,products-admin,search-box,1,355,85,1,1.4,0.920,1431,22,1362,
orig,products-admin,search-box,2,355,85,1,1.4,0.920,1431,22,4843,
orig,products-admin,search-box,3,355,85,1,1.4,0.947,1431,22,1648,
orig,products-admin,category-dropdown,1,552,85,1,1.4,0.905,1431,22,1500,
orig,products-admin,category-dropdown,2,552,84,1,2.2,0.879,1431,22,1671,
orig,products-admin,category-dropdown,3,551,85,1,1.0,0.904,1431,22,1156,
orig,products-admin,add-button,1,774,85,1,2.2,0.910,1432,22,754,
orig,products-admin,add-button,2,774,85,1,2.2,0.900,1432,22,1178,
orig,products-admin,add-button,3,774,84,1,2.8,0.874,1432,22,2393,
orig,products-admin,rating-filter-star4,1,684,84,1,2.2,0.647,1437,22,2775,
orig,products-admin,rating-filter-star4,2,683,84,1,2.8,0.634,1437,22,2387,
orig,products-admin,rating-filter-star4,3,683,84,1,2.8,0.634,1437,22,2509,
orig,products-admin,chart-snack-bar,1,447,205,1,1.4,0.880,1439,24,2230,
orig,products-admin,chart-snack-bar,2,447,205,1,1.4,0.875,1439,44,2812,
orig,products-admin,chart-snack-bar,3,446,205,1,2.2,0.870,1439,24,2001,
orig,products-admin,nav-products,1,105,73,1,0.7,0.914,1433,35,645,
orig,products-admin,nav-products,2,106,73,1,1.6,0.913,1433,21,1034,
orig,products-admin,nav-products,3,105,73,1,0.7,0.898,1433,21,3024,
orig,products-admin,nav-customers,1,100,118,1,4.7,0.821,1433,35,2874,
orig,products-admin,nav-customers,2,100,118,1,4.7,0.821,1433,35,3635,
orig,products-admin,nav-customers,3,100,118,1,4.7,0.821,1433,35,3626,
orig,products-admin,nav-settings,1,99,160,1,5.5,0.812,1433,22,1678,
orig,products-admin,nav-settings,2,62,158,1,42.5,0.196,1433,22,1200,
orig,products-admin,nav-settings,3,100,160,1,4.5,0.782,1433,22,5745,
orig,products-admin,logout-button,1,106,1065,1,1.5,0.937,1433,23,2754,
orig,products-admin,logout-button,2,106,1064,1,1.8,0.912,1433,37,1877,
orig,products-admin,logout-button,3,104,1064,1,1.1,0.926,1433,37,3223,
orig,products-admin,row1-name,1,357,388,1,2.1,0.422,1440,45,2369,
orig,products-admin,row1-name,2,357,388,1,2.1,0.422,1440,45,2183,
orig,products-admin,row1-name,3,357,388,1,2.1,0.422,1440,45,2174,
orig,products-admin,row1-view-icon,1,1129,391,1,3.6,0.402,1441,24,1385,
orig,products-admin,row1-view-icon,2,1129,391,1,3.6,0.427,1441,24,1099,
orig,products-admin,row1-view-icon,3,1129,391,1,3.6,0.402,1441,24,3393,
orig,products-admin,row1-edit-icon,1,1156,392,1,5.0,0.458,1441,24,1120,
orig,products-admin,row1-edit-icon,2,1156,393,1,5.8,0.451,1441,24,1142,
orig,products-admin,row1-edit-icon,3,1156,393,1,5.8,0.451,1441,24,1432,
orig,products-admin,row1-delete-icon,1,1187,393,1,5.0,0.508,1441,24,1373,
orig,products-admin,row1-delete-icon,2,1187,393,1,5.0,0.508,1441,24,3475,
orig,products-admin,row1-delete-icon,3,1187,393,1,5.0,0.508,1441,24,3531,
orig,products-admin,row5-price,1,749,576,1,8.5,0.723,1436,42,2269,
orig,products-admin,row5-price,2,749,576,1,8.5,0.723,1436,42,2101,
orig,products-admin,row5-price,3,749,576,1,8.5,0.723,1436,42,2197,
orig,products-admin,row9-stock,1,903,767,1,14.9,0.577,1437,43,1058,
orig,products-admin,row9-stock,2,900,766,1,17.7,0.566,1437,43,1285,
orig,products-admin,row9-stock,3,900,766,1,17.7,0.566,1437,43,1137,
orig,products-admin,row12-rating,1,1012,906,1,19.6,0.380,1440,24,1766,
orig,products-admin,row12-rating,2,1012,905,1,19.5,0.408,1440,46,1287,
orig,products-admin,row12-rating,3,1012,906,1,19.6,0.380,1440,46,1722,
orig,products-admin,header-cost,1,829,345,1,7.5,0.723,1434,39,617,
orig,products-admin,header-cost,2,830,345,1,6.5,0.782,1434,24,1277,
orig,products-admin,header-cost,3,830,347,1,7.0,0.776,1434,39,837,
orig,products-admin,table-footer,1,276,947,1,469.0,0.083,1433,24,1126,
orig,products-admin,table-footer,2,272,947,1,473.0,0.075,1433,24,1170,
orig,products-admin,table-footer,3,276,947,1,469.0,0.083,1433,24,1785,
orig,customer-c01,c01-back,1,266,42,1,1.0,0.946,1433,36,568,
orig,customer-c01,c01-back,2,265,42,1,1.4,0.927,1433,36,576,
orig,customer-c01,c01-back,3,266,42,1,1.0,0.946,1433,36,565,
orig,customer-c01,c01-heading,1,475,90,1,270.0,0.421,1430,33,2330,
orig,customer-c01,c01-heading,2,317,89,1,428.0,0.152,1430,22,677,
orig,customer-c01,c01-heading,3,475,90,1,270.0,0.421,1430,33,2077,
